questions,class
What was the name of Sergeant Preston of the Yukon 's lead dog ?,ENTITY
What film featured a snarly character named Kid Shelleen ?,ENTITY
What company named one of its pens `` The Banana '' ?,HUMAN
What 's the capital of Monaco ?,LOCATION
What do Englishmen weigh themselves in ?,NUMERIC
How big is the Electoral College ?,NUMERIC
"What is it that walks on four legs , then on two legs , then on three ?",ENTITY
What is the name of the 1919 occurrence in which British troops killed over 3 unarmed Indian protestors ?,ENTITY
Who invented the Moog Synthesizer ?,HUMAN
Who makes the `` Die Hard '' car battery ?,HUMAN
How long does it take to travel from Tokyo to Niigata ?,NUMERIC
What state is the Filenes store located in ?,LOCATION
What is the starting salary of a radiographer ?,NUMERIC
What star-faring race brought about the Inhumans on Marvel 's Earth ?,ENTITY
What is the name of Dolly Parton 's rarely seen husband ?,HUMAN
Where is the official `` zero '' of the sea level ?,LOCATION
Whose old London come-on was : `` Buy my sweet lavender '' ?,HUMAN
Who wrote the lyrics to Porgy and Bess ?,HUMAN
What 1976 Deep Throat clone provides the leading lady with a second larynx ?,ENTITY
What line of luggage is named after a famous American flier ?,ENTITY
What is a word whose letters can be rearranged to form a different word ?,ENTITY
What chapter of Gone with the Wind has Rhett Butler leaving Scarlett O 'Hara ?,NUMERIC
How many American actors were nominated for the best actor Oscar for 1983 ?,NUMERIC
"When did Lucelly Garcia , a former ambassador of Columbia to Honduras , die ?",NUMERIC
"In Hemingway 's `` Old Man and the Sea , '' what kind of fish does the old man catch ?",ENTITY
How long was the longest sneezing attack ?,NUMERIC
What program do I need to run a .tbk file ?,ENTITY
What is the seafaring name for the southern tip of South America ?,LOCATION
What two New York Yankee pitchers swapped wives and families ?,HUMAN
What are the 10 plagues of Egypt ?,ENTITY
What is the rounded part on the top of a matchbook called ?,ENTITY
When did Nixon visit China ?,NUMERIC
What 's the third month of the Gregorian calendar ?,NUMERIC
What country owns Corsica ?,LOCATION
How many queen bees reign in a hive ?,NUMERIC
"What sport features slotbacks , tailbacks , and touchbacks ?",ENTITY
What meat complemented sweet potatoes and peas in the first TV dinner ?,ENTITY
What is RAM in the computer ?,ABBREVIATION
Where can I find a world atlas map online at no charge ?,LOCATION
What Leoncavallo opera features a prologue by a clown ?,ENTITY
What chapter of the Bible has the most verses ?,NUMERIC
What ocean did the Titanic sink in ?,LOCATION
In what year was the Wall built ?,NUMERIC
Name one of King Henry VIII 's wives .,HUMAN
What southwestern state is dubbed The Silver State ?,LOCATION
What does Robin Williams do ?,HUMAN
What country did the Allies invade in World War II 's Operation Avalanche ?,LOCATION
What famed river was Hernando de Soto the first European to see ?,LOCATION
What chess outcome results when a player has no legal move ?,ENTITY
When was Christ born ?,NUMERIC
Where do quality drinks begin ?,LOCATION
"In order from the top , the four stripes on a can of Pepsi are what colors ?",ENTITY
What kind of substance is dextropropoxyphen napsylate ?,ENTITY
Who is the French literary charcter who is chiefly famous for his enormous nose ?,HUMAN
What were first used by John L. Sullivan and James J. Corbett in 1892 ?,ENTITY
"What country surrounds San Marino , the world 's smallest Republic ?",LOCATION
Who killed Martin Luther King ?,HUMAN
Who owns the rights on a TV program ?,HUMAN
What was Mae West 's last film ?,ENTITY
What letter does Gorbachev 's middle name start with ?,ENTITY
Who invented Astroturf ?,HUMAN
Name a flying mammal .,ENTITY
What season does a hiemal activity normally take place in ?,NUMERIC
What direction do the best surfing beaches face ?,LOCATION
What is the world record for the longest hair ?,NUMERIC
What English word contains the most letters ?,ENTITY
What Democratic prankster waved the train out of the station while Richard Nixon spoke from the caboose ?,HUMAN
What California bay 's largest island is Angel Island ?,LOCATION
What was the name of the flight that Fawaz Younis hijacked ?,ENTITY
What former African leader held his country 's boxing title for nine years ?,HUMAN
"What California bridge was Don Brown the first to cross , on May 27 , 1937 ?",LOCATION
"What camera company said , `` If you haven 't got the time , we 've got the camera ? ''",HUMAN
How much does one ton of cement cost ?,NUMERIC
What 2th-century American poet wrote a four-volume biography of Abraham Lincoln ?,HUMAN
Where is the oldest living thing on earth ?,LOCATION
What piece of jewelry is pictured on Monopoly 's Luxury Tax space ?,ENTITY
"Who stopped making diary entries on May 31 , 1669 , because he thought he was going blind ?",HUMAN
What journalist can be found in and around Walden Puddle ?,HUMAN
How many sides does an obelisk have ?,NUMERIC
What was Edward Albee 's first full-length play ?,ENTITY
What was lost and regained by poet John Milton ?,ENTITY
What woman pitcher has struck out Ted Williams and Hank Aaron ?,HUMAN
What songs were popular in 1948 ?,ENTITY
In what year was the cannon invented ?,NUMERIC
How many languages does the Pope speak ?,NUMERIC
What bay divides Maryland 's Eastern and Western Shores ?,LOCATION
"What is the real name of the singer , Madonna ?",HUMAN
"What Frenchman claimed the following ? If God did not exist , it would be necessary to invent him . ''",HUMAN
What color were Ernest Hemingway 's eyes ?,ENTITY
Who was the first woman in space ?,HUMAN
What is the only animal that can turn its stomach inside out ?,ENTITY
What professional sports league originated the college draft ?,HUMAN
Who discovered imaginary numbers ?,HUMAN
Who does the voices of the Simpsons ?,HUMAN
How many feet high is the hurdle in front of a runner 's steeplechase water jump ?,NUMERIC
What religion has the most members ?,ENTITY
How many calories are there in a glass of water ?,NUMERIC
"Who is the richest person in the world , without owning a business ?",HUMAN
What is SVHS ?,ABBREVIATION
What is the chemical reactivity of neon ?,NUMERIC
Where can I find info on Alexander Mackenzie ?,LOCATION
What Georgia town did Scarlett O 'Hara condemn as being full of pushy people ?,LOCATION
How many countries watch MTV Europe ?,NUMERIC
What is SAP ?,ABBREVIATION
What layer of the atmosphere contains most of the ozone layer ?,ENTITY
What is the airport code for Los Angeles International ?,NUMERIC
"What do the letters CE stand for on so many products , particularly electrical , purchased now ?",ABBREVIATION
Where did the real St. Nicholas live ?,LOCATION
"Who manufactures the software , `` PhotoShop '' ?",HUMAN
How many eyes does a bat have ?,NUMERIC
How do you say 2 in Latin ?,ENTITY
What was Dwight Eisenhower 's favorite card game ?,ENTITY
"What is the high pitched sound that you hear in your ear every now and then , but then it goes away , after a while ?",ENTITY
Who was the second man to walk on the moon ?,HUMAN
Where did Dikembe Mutombo go to college ?,LOCATION
What author was appointed U.S. ambassador to Spain in 1842 ?,HUMAN
What body of water does the Yukon River empty into ?,LOCATION
Who is Westview High 's band director in Funky Winkerbean ?,HUMAN
What is Mark McGwire 's e-mail address ?,LOCATION
How many maids were milking ?,NUMERIC
The Kentucky Horse Park is located near what city ?,LOCATION
What is the celtic symbol for `` life '' ?,ENTITY
What kind of fruit is a Yellow Transparent ?,ENTITY
What song put James Taylor in the limelight ?,ENTITY
"What drink is formed of tequila , orange juice and galliano ?",ENTITY
Name four comic strips about pilots .,ENTITY
What geological time do we live in ?,NUMERIC
Where is the massive North Korean nuclear complex located ?,LOCATION
Where is Microsoft 's corporate headquarters located ?,LOCATION
When was China 's first nuclear test ?,NUMERIC
What is the name given to a group of geese ?,ENTITY
What singer 's hit song inspired the Dolly Parton Stallone movie Rhinestone ?,HUMAN
How much can a person be fined for having a dog on a beach ?,NUMERIC
Why do movie and TV stars get paid so much ?,DESCRIPTION
What is a turnkey contract ?,DESCRIPTION
What are people doing to help prevent the extinction of birds ?,DESCRIPTION
Why is the mile 528 feet ?,DESCRIPTION
What Asian gulf were the destroyers Maddox and C Turner Joy shot up in ?,LOCATION
How is carbon dioxide removed from natural gas ?,DESCRIPTION
Who is Edmund Kemper ?,HUMAN
"What was Mao , the Chinese leader 's , full name ?",HUMAN
When is Dick Clark 's birthday ?,NUMERIC
"Who is the director of the international group called the Human Genome Organization , HUGO , that is trying to coordinate gene-mapping research worldwide ?",HUMAN
What radio station did Paul Harvey work for ?,HUMAN
What character narrates Treasure Island ?,HUMAN
What is the correct way to abbreviate cc. at the bottom of a business letter ?,ABBREVIATION
Who starred with Charlie Chaplin in Modern Times and The Great Dictator ?,HUMAN
What seven digits follow the area code in the number for long distance information ?,NUMERIC
What Catch-22 character is elected mayor of half a dozen Italian cities ?,HUMAN
"Whom does Uncle Duke 's girl friend , Honey , room with ?",HUMAN
"When called upon to surrender , what American general replied , `` Sir , I have not yet begun to fight . '' ?",HUMAN
When was the bar-code invented ?,NUMERIC
What has to be produced in a writ of habeas corpus ?,ENTITY
What team did Babe Ruth play his first major league game for ?,HUMAN
What class is categorized as the bourgeoisie ?,ENTITY
What relative of Leo Tolstoy translated War and Peace eight times ?,HUMAN
How does the Nintendo `` Zapper '' work ?,DESCRIPTION
How many cards is each player dealt in Contract Bridge ?,NUMERIC
Who was the second person ever to wear Iron Man 's armor ?,HUMAN
What is InterLata Internet service ?,DESCRIPTION
Who is the director and editor of the movie Big starring Tom Hanks ?,HUMAN
What is the `` fourth dimension '' ?,DESCRIPTION
What is the Homelite Inc. home page ?,LOCATION
How old was Stevie Wonder when he signed with Motown Records ?,NUMERIC
What is `` alternative '' anymore ?,DESCRIPTION
Why do they call a hamburger a hamburger when there is no ham ?,DESCRIPTION
Who won two gold medals in skiing in the Olympic Games in Calgary ?,HUMAN
What year was the Avery Dennison company founded ?,NUMERIC
Where does the U.S. rank among world countries in area ?,NUMERIC
What are the four railways in Monopoly ?,HUMAN
What are the names of all the seas in the world and what ocean do they drain into ?,LOCATION
What does BMW stand for ?,ABBREVIATION
Name the highest mountain .,LOCATION
What is a biologist ?,DESCRIPTION
What revelation did Alexander Butterfield make to the Senate Watergate committee ?,DESCRIPTION
What island is home to statues called Mauis ?,LOCATION
What is a fear of black people ?,ENTITY
What 's the most extensively grown and eaten food ?,ENTITY
What was the worst hurricane ?,ENTITY
How can I get started in writing for television ?,DESCRIPTION
Where was Pythagoras born ?,LOCATION
What 1927 silent film received an international revival in 1981 ?,ENTITY
What is the price for AAA 's liability auto insurance ?,NUMERIC
What is LMDS ?,ABBREVIATION
Who are the top ten richest people in the world ?,HUMAN
Who is the leader of Brunei ?,HUMAN
What is the capital of Italy ?,LOCATION
What game does Garry Kasparov play ?,ENTITY
How do you get a pointsettia to turn red ?,DESCRIPTION
What is kept in Fort Knox that is so valuable ?,ENTITY
What is the greatest hiking Web site ?,LOCATION
"What is the population of Arcadia , Florida ?",NUMERIC
What Stephen King novel is set in a graveyard for pets ?,ENTITY
Who were the head writers for the Smothers Brothers Comedy Hour ?,HUMAN
Who portrayed Prewett in From Here to Eternity ?,HUMAN
What was the sequel to The Pink Panther ?,ENTITY
How many people live in cities ?,NUMERIC
How high must a mountain be to be called a mountain ?,NUMERIC
What Scottish poet penned To a Mouse and To a Louse ?,HUMAN
What is the name of the inventor of silly putty ?,HUMAN
What ocean surrounds the Madeira Islands ?,LOCATION
What famous communist leader died in Mexico City ?,HUMAN
What was John Steinbeck 's travelling companion Charley ?,ENTITY
What are the capital cities of the two large countries that occupy the Iberian peninsula in Europe ?,LOCATION
How many mines can still be found in the Falklands after the war ended ?,NUMERIC
